epoch,step,test_loss,train_loss,val_loss
0,225,,,0.5321162343025208
0,225,,0.8462315797805786,
1,451,,,2.6673476696014404
1,451,,0.4468190371990204,
2,677,,,2.291041612625122
2,677,,0.4251692593097687,
3,903,,,2.177462339401245
3,903,,0.42890679836273193,
4,1129,,,2.17818284034729
4,1129,,0.4245341718196869,
5,1355,,,0.47838112711906433
5,1355,,0.4085003733634949,
6,1581,,,1.9622406959533691
6,1581,,0.40448668599128723,
7,1807,,,0.5162239670753479
7,1807,,0.40556076169013977,
8,2033,,,0.46115270256996155
8,2033,,0.3913176953792572,
9,2259,,,0.4688528776168823
9,2259,,0.3949394226074219,
10,2485,,,1.3788124322891235
10,2485,,0.3922124207019806,
11,2711,,,0.4639182388782501
11,2711,,0.39711034297943115,
12,2937,,,0.4690827429294586
12,2937,,0.396106481552124,
13,3163,,,0.5109004378318787
13,3163,,0.3863677978515625,
14,3389,,,0.7224715948104858
14,3389,,0.39540642499923706,
15,3390,0.45424872636795044,,
