epoch,step,test_fusion_acc,train_acc,train_loss,val_acc,val_loss
0,49,,0.3125,1.848388671875,,
0,99,,0.125,2.07147216796875,,
0,149,,0.375,2.02947998046875,,
0,199,,0.125,2.060211181640625,,
0,249,,0.15625,2.086578369140625,,
0,299,,0.03125,2.077056884765625,,
0,349,,0.21875,2.016510009765625,,
0,399,,0.15625,2.03350830078125,,
0,449,,0.125,2.0994873046875,,
0,499,,0.1875,2.102142333984375,,
0,549,,0.34375,1.966033935546875,,
0,599,,0.125,1.977996826171875,,
0,649,,0.21875,2.08599853515625,,
0,699,,0.125,2.128387451171875,,
0,749,,0.21875,2.075103759765625,,
0,799,,0.28125,1.9219970703125,,
0,849,,0.1875,2.03961181640625,,
0,878,,,,0.1567111760377884,2.0440428256988525
1,899,,0.15625,2.022552490234375,,
1,949,,0.15625,1.9468994140625,,
1,999,,0.3125,1.982025146484375,,
1,1049,,0.125,2.022735595703125,,
1,1099,,0.15625,2.080963134765625,,
1,1149,,0.1875,2.07861328125,,
1,1199,,0.21875,1.98992919921875,,
1,1249,,0.28125,1.967010498046875,,
1,1299,,0.09375,2.04541015625,,
1,1349,,0.1875,2.044219970703125,,
1,1399,,0.0625,2.139862060546875,,
1,1449,,0.21875,2.00897216796875,,
1,1499,,0.28125,1.96826171875,,
1,1549,,0.1875,2.24395751953125,,
1,1599,,0.125,2.0638427734375,,
1,1649,,0.125,2.080810546875,,
1,1699,,0.28125,1.974853515625,,
1,1749,,0.34375,1.804473876953125,,
1,1757,,,,0.2427969127893448,1.8457964658737183
2,1799,,0.3125,1.829010009765625,,
2,1849,,0.5625,1.6833343505859375,,
2,1899,,0.25,1.815948486328125,,
2,1949,,0.34375,1.7643585205078125,,
2,1999,,0.46875,1.7772979736328125,,
2,2049,,0.25,1.9505767822265625,,
2,2099,,0.1875,1.8697509765625,,
2,2149,,0.21875,1.9435577392578125,,
2,2199,,0.3125,1.6419830322265625,,
2,2249,,0.125,1.9519195556640625,,
2,2299,,0.34375,1.680908203125,,
2,2349,,0.375,1.74530029296875,,
2,2399,,0.25,1.6878662109375,,
2,2449,,0.4375,1.545501708984375,,
2,2499,,0.3125,1.90667724609375,,
2,2549,,0.40625,1.700927734375,,
2,2599,,0.15625,1.6623992919921875,,
2,2636,,,,0.2958538234233856,1.6623893976211548
3,2649,,0.5,1.6437225341796875,,
3,2699,,0.40625,1.571929931640625,,
3,2749,,0.25,1.8254241943359375,,
3,2799,,0.375,1.6680145263671875,,
3,2849,,0.3125,1.82073974609375,,
3,2899,,0.34375,1.67034912109375,,
3,2949,,0.28125,1.7156524658203125,,
3,2999,,0.40625,1.631378173828125,,
3,3049,,0.40625,1.4516983032226562,,
3,3099,,0.3125,1.6637115478515625,,
3,3149,,0.4375,1.30267333984375,,
3,3199,,0.1875,1.58673095703125,,
3,3249,,0.46875,1.4095306396484375,,
3,3299,,0.375,1.6235198974609375,,
3,3349,,0.21875,1.7617645263671875,,
3,3399,,0.21875,1.8689727783203125,,
3,3449,,0.28125,1.7086181640625,,
3,3499,,0.5,1.3695068359375,,
3,3515,,,,0.3554111123085022,1.4713078737258911
4,3549,,0.34375,1.3821182250976562,,
4,3599,,0.40625,1.4871063232421875,,
4,3649,,0.40625,1.2937698364257812,,
4,3699,,0.4375,1.3732757568359375,,
4,3749,,0.46875,1.4748802185058594,,
4,3799,,0.34375,1.5888824462890625,,
4,3849,,0.40625,1.5669708251953125,,
4,3899,,0.3125,1.5235748291015625,,
4,3949,,0.46875,1.2597732543945312,,
4,3999,,0.5,1.3482627868652344,,
4,4049,,0.5,1.3505702018737793,,
4,4099,,0.5625,1.2266464233398438,,
4,4149,,0.4375,1.3760662078857422,,
4,4199,,0.5,1.1887855529785156,,
4,4249,,0.4375,1.3742446899414062,,
4,4299,,0.40625,1.1765975952148438,,
4,4349,,0.65625,1.1084295511245728,,
4,4394,,,,0.3882642388343811,1.381758213043213
5,4399,,0.4375,1.3814527988433838,,
5,4449,,0.34375,1.2692031860351562,,
5,4499,,0.46875,1.1968488693237305,,
5,4549,,0.5625,1.1325148344039917,,
5,4599,,0.5625,1.3119773864746094,,
5,4649,,0.3125,1.6192092895507812,,
5,4699,,0.46875,1.2717475891113281,,
5,4749,,0.5625,1.035822868347168,,
5,4799,,0.40625,1.3035297393798828,,
5,4849,,0.375,1.3448543548583984,,
5,4899,,0.625,1.2221136093139648,,
5,4949,,0.34375,1.4033164978027344,,
5,4999,,0.46875,1.2090682983398438,,
5,5049,,0.3125,1.505859375,,
5,5099,,0.4375,1.2143230438232422,,
5,5149,,0.59375,1.0884647369384766,,
5,5199,,0.625,1.1236876249313354,,
5,5249,,0.5,1.0889892578125,,
5,5273,,,,0.4423752725124359,1.3348830938339233
6,5274,0.40925267338752747,,,,
